Chamber,Type,Temperature,Humidity,Status,Size,Gap,Ramp_Rate
Chamber 10,Temp/Hum,-60,0,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,1,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,2,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,3,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,4,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,5,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,10,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,15,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,20,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,25,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,30,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,35,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,40,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,45,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,50,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,55,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,60,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,65,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,70,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,75,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,80,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,85,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,90,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,95,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,96,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,97,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,98,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,99,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-60,100,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,0,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,1,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,2,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,3,DOABLE,15x18x15,3x3x3,0.3C/Min
